Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	tree_length
0	-47.59882	-91.80966	44.21084	0.7882168	0.09736351	0.6114564
6	-50.31853	-95.11557	44.79704	0.2974955	0.06261752	0.3200693
12	-45.80631	-90.68511	44.8788	0.4247228	0.009263582	0.4392898
18	-56.66197	-101.1333	44.47132	0.5365081	0.03174994	1.016982
24	-60.32364	-104.311	43.98735	0.2950052	0.10253	1.357692
30	-55.41137	-99.59626	44.18489	0.3731348	0.2109238	0.7027883
36	-50.05599	-94.68148	44.62548	0.0494636	0.1658757	0.7397127
42	-50.33061	-94.88885	44.55824	0.09957652	0.09383222	1.069044
48	-50.25068	-94.08438	43.8337	0.7542037	0.2188089	0.4246036
54	-50.79186	-95.08414	44.29228	0.8810508	0.06350219	0.4618123
60	-51.34424	-96.42593	45.08169	0.131176	0.00799552	0.3345806
66	-50.74343	-95.50257	44.75914	0.5180448	0.02462574	0.7298893
72	-56.82252	-101.4924	44.66985	0.3414248	0.09620844	0.5898041
78	-54.95753	-99.33911	44.38158	0.5620578	0.1160228	0.496709
84	-56.97586	-100.9533	43.97742	0.5558816	0.0966245	1.170658
90	-48.47926	-93.08291	44.60365	0.7060534	0.02726656	0.6553677
96	-52.54174	-97.51842	44.97668	0.2075356	0.05765546	0.4043101
102	-51.54955	-95.79248	44.24294	0.7989933	0.0723792	0.3153134
108	-54.12815	-98.4572	44.32905	0.3412692	0.1356437	0.8840313
114	-49.87378	-94.55121	44.67744	0.1174349	0.003337373	0.9002346
120	-49.74249	-94.64712	44.90463	0.2471035	0.005963453	0.6946788
126	-54.02162	-98.05172	44.0301	0.5549049	0.2104801	0.3724051
132	-58.23211	-102.1215	43.88936	0.5847745	0.2658955	0.4800807
138	-58.30741	-102.2376	43.9302	0.2914277	0.2645741	0.9484175
144	-49.80055	-94.45741	44.65686	0.4982992	0.005063824	0.5653845
150	-58.30164	-103.2135	44.91182	0.3937017	0.02127829	0.6960836
156	-57.91092	-102.6738	44.76286	0.4650404	0.04084995	0.6960836
162	-57.20969	-101.2681	44.05844	0.4102017	0.1161304	1.156621
168	-58.43419	-103.086	44.65184	0.07971397	0.1226808	0.8698159
174	-51.45853	-95.48043	44.0219	0.2716926	0.11948	1.293422
180	-51.28168	-95.75553	44.47385	0.07978784	0.2017238	0.7529574
186	-54.2083	-97.36161	43.15331	0.7715311	0.4143876	0.918362
192	-47.88436	-92.42685	44.54249	0.7474816	0.04065401	0.5100485
198	-50.09471	-94.46144	44.36674	0.7092555	0.07829153	0.3875612
204	-48.13689	-92.03725	43.90036	0.4510329	0.256163	0.8238547
210	-51.39739	-95.08107	43.68369	0.883868	0.1492558	0.223607
216	-52.05988	-96.76051	44.70063	0.4709207	0.03952128	0.7921448
222	-59.51855	-102.0645	42.54595	0.663278	1.109235	0.685382
228	-58.80725	-103.4802	44.67293	0.4061615	0.07690921	0.6401209
234	-56.99445	-100.6098	43.61538	0.2031021	0.5668565	0.725152
240	-53.06386	-96.63356	43.5697	0.7273819	0.3018334	0.7447623
246	-50.38694	-94.28342	43.89648	0.7620736	0.1877863	0.3808605
252	-51.01522	-95.62149	44.60627	0.7146343	0.0129784	0.3808605
258	-56.32269	-99.15236	42.82967	0.8433052	0.651864	0.3070568
264	-51.61773	-95.51954	43.90181	0.7081837	0.2102703	0.4181838
270	-49.56855	-93.28494	43.71639	0.8311607	0.2263141	0.3840106
276	-53.23181	-97.62878	44.39697	0.1280431	0.241513	0.4233576
282	-64.14819	-107.8532	43.70505	0.4745551	0.08132132	1.508158
288	-63.34468	-107.7444	44.3997	0.1932048	0.2160994	0.592855
294	-53.68847	-97.98717	44.2987	0.3646029	0.1712615	0.7301934
300	-50.5065	-93.64721	43.1407	0.7296901	0.561686	0.6430129
306	-58.65565	-101.9192	43.26352	0.4544618	0.5057367	0.9679197
312	-56.39066	-100.6857	44.29509	0.5925277	0.09866461	0.7967278
318	-59.68638	-103.8649	44.17849	0.6608982	0.1174259	0.7561993
324	-56.26676	-99.38019	43.11342	0.5537712	0.6322192	0.8062057
330	-55.26632	-100.1941	44.92782	0.3044016	0.01912908	0.8094878
336	-59.8451	-104.2376	44.3925	0.6325791	0.04546696	0.2280161
342	-56.4014	-101.0734	44.67201	0.6491861	0.03400092	0.5176312
348	-56.87408	-101.2635	44.38939	0.2073107	0.22002	0.5149029
354	-54.25464	-99.39264	45.13801	0.2081901	0.02767581	0.5334111
360	-59.185	-103.3573	44.17232	0.9689202	0.06425108	0.3847631
